0,1,2,3,4,5,6,7,8,9
Relatório de Consulta de Valor Total de Estoque,,,,,,,,,
25/06/2025 14:34:10,,,,,,,,,
Filtros:,,,,,,,,,
Tipo de estoque: Comercial,,,,,,,,,
Rede: LOJA PRINCIPAL,,,,,,,,,
Loja: LJ-03  SANTA CRUZ,,,,,,,,,
Data: 31/05/2025,,,,,,,,,
Setor de Compra: Todos,,,,,,,,,
Tipo de estoque: Venda,,,,,,,,,
Departamento: Todos,,,,,,,,,
Seção: Todos,,,,,,,,,
Grupo: Todos,,,,,,,,,
Subgrupo: Todos,,,,,,,,,
Agrupar por: Produto,,,,,,,,,
Ordem: Ascendente,,,,,,,,,
Status do Produto: Todos,,,,,,,,,
Tipo de Produto: Venda Insumo Embalagem Consumo Subproduto Produto Acabado,,,,,,,,,
Venda Externa: Todos,,,,,,,,,
Despreza os produtos sem estoque: Sim,,,,,,,,,
Aplicar movimentos extemporâneos: Não,,,,,,,,,
Produto,,,Fornecedor,,,,,,
QJ MINAS PADRAO LEVITARE BUFALA Kg,80170.0,5286.0,LEVITARE BALCAO/PAS,,4007.0,57956204.0,50986046.0,232230509428.0,204301086322.0
GRANOLA JASMINE VEGAN INTEGRAL POUCH 250G TRADICIONAL,78778.0,7896283000157.0,NEW JUICE DIST - JASMINE,,1.0,119063.0,109732.0,119063.0,109732.0
CEREAL ORG NATIVE CORN FLAKES 300G,78808.0,7898206501383.0,NATIVE - MERCEARIA,,8.0,10.99,8776554.0,87.92,70212432.0
ATUM COQUEIRO 170G PEDACOS OLEO,78023.0,7896009301100.0,CAMIL ALIMENTOS S/A - MERCEARIA,,122.0,9081445.0,8349336.0,110793629.0,1018618992.0
OLEO DE COCO COPRA VD 200ML EXTRA VIRGEM,84880.0,7898905356567.0,LOURENCO DIST (NATURAIS),,14.0,16776008.0,15601654.0,234864112.0,218423156.0
CREME AVELA NUTELLA 140G,91529.0,7898024395232.0,EBD LTDA - MERCEARIA,,14.0,10.94,992805.0,153.16,1389927.0
MARG CLAYBOM 500G C/SAL,97169.0,7891515901059.0,BRF PERDIGAO | PERDIGAO PAS/BALCAO FRIOS,,24.0,4673488.0,4673488.0,112163712.0,112163712.0
SOFYL YAKULT 110G MORANGO,5107.0,7891156072019.0,YAKULT - PAS,,22.0,2.0,2.0,44.0,44.0
SAC PIMENTA ARDIDA kg,96595.0,5429.0,DA FEIRA DSCD - LEGUMES,,2469.0,347116.0,347116.0,857029404.0,857029404.0
AGUARDENTE VELHO BARREIRO 910ML.,12215.0,7896050200124.0,DISTRIBUIDORA HS - BEBIDAS,,47.0,12.97,11770275.0,609.59,553202925.0
